PMID,Abstract
39638603,"1. BMJ Open. 2024 Dec 5;14(12):e089203. doi: 10.1136/bmjopen-2024-089203.

Saving Legs & Lives: the efficacy of a community-based cardiovascular 
rehabilitation programme versus usual care on exercise capacity and quality of 
life in patients who have undergone lower limb revascularisation for peripheral 
arterial disease-protocol for a single-centre randomised-controlled trial.

Feka K(1)(2), Jha P(3), Aust M(4), Scott JJ(5), Schaumberg M(1), Stanton T(4), 
Askew CD(6)(2), Trial Group SLL(1); Saving Legs & Lives Trial Group.

Collaborators: Greaves K, Morris N, Russell FD, Walker MA, Summers MJ, O'Donnell 
J, Schulze K, Magee RJ, McGlade D, Moult V, Shepherd A, Shanahan MD, Richman T, 
Coppock C, Rodgers HJ, Samarasinghe AR, Kerley DP, Polowyi LM.

Author information:
(1)School of Health, University of the Sunshine Coast, Sippy Downs, Queensland, 
Australia.
(2)Sunshine Coast Hospital and Health Service, Sunshine Coast Health Institute, 
Birtinya, Queensland, Australia.
(3)Vascular Surgery, Sunshine Coast University Hospital, Sunshine Coast, 
Queensland, Australia.
(4)Cardiology, Sunshine Coast University Hospital, Sunshine Coast, Queensland, 
Australia.
(5)School of Education and Tertiary Access, University of the Sunshine Coast, 
Sippy Downs, Queensland, Australia.
(6)School of Health, University of the Sunshine Coast, Sippy Downs, Queensland, 
Australia caskew@usc.edu.au.

INTRODUCTION: Peripheral artery disease (PAD) is an atherosclerotic condition 
characterised by stenosis or occlusion of the arteries in the lower limbs. 
Patients with PAD commonly report intermittent claudication (leg 
pain/discomfort) during physical activities, which significantly limits the 
ability to walk and perform activities of daily living. Supervised exercise 
training is an effective therapy that can improve walking capacity in people 
with PAD. Emerging evidence also suggests that supervised exercise therapy 
following lower limb revascularisation can further enhance walking capacity when 
compared with revascularisation alone. However, access to dedicated exercise 
programmes for patients with PAD is limited in most countries, and there is a 
need to test the efficacy of alternative rehabilitation strategies and referral 
pathways. This randomised-controlled study aims to assess the efficacy of a 
cardiovascular rehabilitation (CR) programme versus usual care on walking 
capacity and quality of life in patients who have undergone lower limb 
revascularisation for PAD.
METHODS AND ANALYSIS: This will be a single-centre, prospective, parallel group, 
randomised-controlled trial. Sixty-six participants who have undergone a lower 
limb revascularisation procedure for PAD, in the previous 12 months, will be 
randomly allocated to a CR programme or a usual care (control) group. The CR 
programme will include two supervised exercise sessions per week for 6 weeks 
primarily consisting of intermittent treadmill walking at a moderate exercise 
intensity and home-based walking advice. During the 6-week programme, 
participants will also attend one education seminar (5.5 hours) which will cover 
topics such as diet, medications, exercise training and lifestyle modifications 
for the management of cardiovascular diseases. The control group will receive 
usual care and medical advice from their local doctor and vascular surgeon. The 
primary outcome will be 6-min walk distance. Secondary outcomes include 
pain-free walking distance during the six-minute walk test, maximal and 
pain-free walking time during a graded treadmill walking test, cardiorespiratory 
fitness, self-reported walking capacity, disease-specific quality of life, and 
self-reported and objectively measured physical activity levels. Exploratory 
outcomes include brachial artery flow-mediated dilation, arterial stiffness, 
ankle-brachial blood pressure index and biomarkers of cardiovascular disease 
risk. Outcomes will be assessed at baseline (week 1), following the CR/usual 
care period (week 8) and again at 6-month follow-up (week 34).
ETHICS AND DISSEMINATION: This study has received ethics approval from the Human 
Research Ethics Committees of Queensland Health Metro North Hospital and Health 
Service (94155) and the University of the Sunshine Coast (S231914). Findings 
from this study will be disseminated in peer-reviewed journals and through 
national and international conference presentations.
TRIAL REGISTRATION NUMBER: ACTRN12623000190606.

© Author(s) (or their employer(s)) 2024. Re-use permitted under CC BY-NC. No 
commercial re-use. See rights and permissions. Published by BMJ.

DOI: 10.1136/bmjopen-2024-089203
PMCID: PMC11624831
PMID: 39638603 [Indexed for MEDLINE]

Conflict of interest statement: Competing interests: None declared."
39635626,"1. IEEE Trans Med Robot Bionics. 2024 May;6(2):632-642. doi: 
10.1109/tmrb.2024.3369894. Epub 2024 Feb 26.

Functional resistance training during walking: do biomechanical and neural 
effects differ based on targeted joints?

Washabaugh EP(1), Krishnan C(2).

Author information:
(1)Michigan Medicine Department of Physical Medicine and Rehabilitation but is 
now with the Wayne State University Department of Biomedical Engineering, 
Detroit, MI, 48201 USA.
(2)Michigan Medicine Department of Physical Medicine and Rehabilitation and the 
University of Michigan Robotics Institute, Ann Arbor, MI, 48108.

Devices for functional resistance training (FRT) during walking are often 
configured to resist the knee or both the hip and knee joints. Adding resistance 
to the hip in addition to the knee should alter the effects of training; 
however, these configurations have not been directly compared. We examined how 
FRT during walking differs during the knee or hip and knee conditions. Fourteen 
non-disabled individuals received FRT during treadmill walking with a device 
configured to provide a viscous resistance to the knee or the hip and knee 
during separate visits. Between these configurations, we compared gait kinetics, 
muscle activation, kinematic aftereffects, peripheral fatigue, and corticospinal 
excitability. Adding resistance to the hip increased hip flexion moment and 
concentric power during the swing phase. However, this did not result in 
significant differences in muscle activation, aftereffects, peripheral fatigue, 
or corticospinal excitability between the configurations. Instead, both 
configurations produced similar changes in these variables. These results 
indicate that, aside from kinetics, walking with resistance at the hip and knee 
was not different from resisting the knee in the acute setting. However, further 
research is needed to determine if long-term training with resistance at the hip 
induces differential effects than resisting the knee alone.

DOI: 10.1109/tmrb.2024.3369894
PMCID: PMC11612632
PMID: 39635626"
39633649,"1. Front Physiol. 2024 Nov 20;15:1325513. doi: 10.3389/fphys.2024.1325513. 
eCollection 2024.

The ground reaction force pattern during walking under vestibular-demanding task 
with/without mastoid vibration: implication for future sensorimotor training in 
astronauts.

Wang Z(1)(2), Xie H(3)(4), Chien JH(5).

Author information:
(1)Rehabilitation Medicine Center and Institute of Rehabilitation Medicine, West 
China Hospital, Sichuan University, Chengdu, China.
(2)Key Laboratory of Rehabilitation Medicine in Sichuan Province, West China 
Hospital, Sichuan University, Chengdu, China.
(3)Department of Rehabilitation Medicine, the First Affiliated Hospital of Sun 
Yat-Sen University, Guangzhou, Guangdong, China.
(4)Department of Health and Rehabilitation Science, College of Allied Health 
Professions, the University of Nebraska Medical Center, Omaha, NE, United 
States.
(5)Independent Researcher, Omaha, NE, United States.

BACKGROUND: The Sensory Organization Test condition 5 (SOT5) assesses an 
astronaut's vestibular function pre-/post-spaceflight but has a ceiling effect 
and mainly evaluates standing balance, neglecting the challenges of walking 
during space missions. A Locomotor Sensory Organization Test (LSOT) has been 
developed, mirroring the SOT concept but tailored to assess vestibular function 
during walking. This study aims to advance current knowledge by examining 
changes in ground reaction force (GRF) during normal walking (LSOT1) and walking 
in LSOT5 (vision blocked and treadmill speed varied), both with and without 
mastoid vibrations.
METHODS: Sixty healthy adults were recruited and divided into two groups: one 
with mastoid vibration and one without. GRF peaks and respective variabilities 
were analyzed in the vertical (V), anterior-posterior (AP), and medial-lateral 
(ML) directions during stance cycles. The effects of LSOTs and mastoid vibration 
on each dependent variable were assessed using Friedman's two-way analysis of 
variance by ranks.
RESULTS: The findings revealed that:1) Walking in LSOT5 increased the 
variabilities of GRFs regardless of the administration of mastoid vibration; 2) 
the application of mastoid vibration reduced the amplitude of GRF peaks; and 3) 
walking in LSOT5 while receiving mastoid vibration was the most challenging task 
compared to all other tasks in this study.
CONCLUSION: The results indicated that analyzing GRF can detect changes in the 
strategy of balance control across different sensory-conflicted conditions. The 
findings could be beneficial for assessing the vestibular function pre- and 
post-space missions and planning for future sensorimotor training programs aimed 
at enhancing astronauts' abilities to navigate unpredictable sensory-conflicted 
conditions.

Copyright © 2024 Wang, Xie and Chien.

DOI: 10.3389/fphys.2024.1325513
PMCID: PMC11614746
PMID: 39633649

Conflict of interest statement: The authors declare that the research was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest."
39630690,"1. PLoS One. 2024 Dec 4;19(12):e0311315. doi: 10.1371/journal.pone.0311315. 
eCollection 2024.

The effect of virtual visual scene inclination transitions on gait modulation in 
healthy older versus young adults-A virtual reality study.

Benady A(1)(2)(3)(4), Zadik S(1), Lustig A(1)(5), Gilaie-Dotan S(2)(6)(7), 
Plotnik M(1)(5)(8).

Author information:
(1)Center of Advanced Technologies in Rehabilitation, Sheba Medical Center, 
Ramat Gan, Israel.
(2)School of Optometry and Vision Science, Bar Ilan University, Ramat Gan, 
Israel.
(3)Orthopedic Department, Tel Aviv Sourasky Medical Center, Tel Aviv, Israel.
(4)Anatomy and Anthropology Department, School of Medicine, Tel Aviv University, 
Tel Aviv, Israel.
(5)Department of Physiology and Pharmacology, Faculty of Medicine, Tel Aviv 
University, Tel Aviv, Israel.
(6)UCL Institute of Cognitive Neuroscience, London, United Kingdom.
(7)The Gonda Multidisciplinary Brain Research Center, Bar Ilan University, Ramat 
Gan, Israel.
(8)The Sagol School of Neuroscience, Tel Aviv University, Tel Aviv, Israel.

Bipedal locomotion requires body adaptation to maintain stability after 
encountering a transition to incline walking. A major part of this adaptation is 
reflected by adjusting walking speed. When transitioning to uphill walking, 
people exert more energy to counteract gravitational forces pulling them 
backward, while when transitioning to downhill walking people break to avoid 
uncontrolled acceleration. These behaviors are affected by body-based 
(proprioception and vestibular) cues as well as by visual cues. Since older age 
adversely affects walking, it is unclear whether older adults rely on vision 
during locomotion in a similar manner to younger individuals. In this study, we 
tested whether the influence of visual cues on these walking speed modulations 
in healthy older adults (60-75 years old, N = 15) were comparable to those found 
in healthy young adults (20-40 years old, N = 12). Using a fully immersive 
virtual-reality system embedded with a self-paced treadmill and projected visual 
scene, we manipulated the inclinations of both the treadmill and the visual 
scene in an independent manner, and measured participants walking speed. In 
addition, we also measured individual visual field dependency using the rod and 
frame test. The older adults presented the expected braking (decelerating) and 
exertion (accelerating) effects, in response to downhill and uphill visual 
illusions, respectively, in a similar manner to the young group. Furthermore, we 
found a significant correlation between the magnitude of walking speed 
modulation and visual field dependency in each of the groups with significantly 
higher visual field dependency in older adults. These results suggest that with 
aging individuals maintain their reliance on the visual system to modulate their 
gait in accordance with surface inclination in a manner similar to that of 
younger adults.

Copyright: © 2024 Benady et al. This is an open access article distributed under 
the terms of the Creative Commons Attribution License, which permits 
unrestricted use, distribution, and reproduction in any medium, provided the 
original author and source are credited.

DOI: 10.1371/journal.pone.0311315
PMCID: PMC11616833
PMID: 39630690 [Indexed for MEDLINE]

Conflict of interest statement: The authors have declared that no competing 
interests exist"
39627867,"1. J Neuroeng Rehabil. 2024 Dec 3;21(1):211. doi: 10.1186/s12984-024-01504-9.

On the role of visual feedback and physiotherapist-patient interaction in 
robot-assisted gait training: an eye-tracking and HD-EEG study.

Patarini F(1)(2), Tamburella F(3)(4), Pichiorri F(2), Mohebban S(2), Bigioni 
A(4), Ranieri A(1)(2), Di Tommaso F(5), Tagliamonte NL(4)(5), Serratore G(4), 
Lorusso M(4), Ciaramidaro A(6)(7), Cincotti F(1), Scivoletto G(4), Mattia D(2), 
Toppi J(8)(9).

Author information:
(1)Department of Computer, Control and Management Engineering, Sapienza 
University of Rome, Via Ariosto, 25, 00185, Rome, Italy.
(2)Neuroelectrical Imaging and Brain Computer Interface Lab, IRCCS Fondazione 
Santa Lucia, Rome, Italy.
(3)Department of Life Sciences, Health and Health Professions, Link Campus 
University Rome, Rome, Italy.
(4)Laboratory of Robotic Neurorehabilitation, IRCCS Fondazione Santa Lucia, 
Rome, Italy.
(5)Università Campus Bio-Medico di Roma, Rome, Italy.
(6)Department of Biomedical, Metabolic and Neural Sciences, University of Modena 
and Reggio Emilia, Reggio Emilia, Italy.
(7)Center of Neuroscience and Neurotechnology, University of Modena and Reggio 
Emilia, Modena, Italy.
(8)Department of Computer, Control and Management Engineering, Sapienza 
University of Rome, Via Ariosto, 25, 00185, Rome, Italy. 
jlenia.toppi@uniroma1.it.
(9)Neuroelectrical Imaging and Brain Computer Interface Lab, IRCCS Fondazione 
Santa Lucia, Rome, Italy. jlenia.toppi@uniroma1.it.

Erratum in
    J Neuroeng Rehabil. 2025 Mar 3;22(1):46. doi: 10.1186/s12984-025-01569-0.

BACKGROUND: Treadmill based Robotic-Assisted Gait Training (t-RAGT) provides for 
automated locomotor training to help the patient achieve a physiological gait 
pattern, reducing the physical effort required by therapist. By introducing the 
robot as a third agent to the traditional one-to-one physiotherapist-patient 
(Pht-Pt) relationship, the therapist might not be fully aware of the patient's 
motor performance. This gap has been bridged by the integration in 
rehabilitation robots of a visual FeedBack (FB) that informs about patient's 
performance. Despite the recognized importance of FB in t-RAGT, the optimal role 
of the therapist in the complex patient-robot interaction is still unclear. This 
study aimed to describe whether the type of FB combined with different 
modalities of Pht's interaction toward Pt would affect the patients' visual 
attention and emotional engagement during t-RAGT.
METHODS: Ten individuals with incomplete Spinal Cord Injury (C or D ASIA 
Impairment Scale level) were assessed using eye-tracking (ET) and high-density 
EEG during seven t-RAGT sessions with Lokomat where (i) three types of visual FB 
(chart, emoticon and game) and (ii) three levels of Pht-Pt interaction (low, 
medium and high) were randomly combined. ET metrics (fixations and saccades) 
were extracted for each of the three defined areas of interest (AoI) (monitor, 
Pht and surrounding) and compared among the different experimental conditions 
(FB, Pht-Pt interaction level). The EEG spectral activations in theta and alpha 
bands were reconstructed for each FB type applying Welch periodogram to data 
localised in the whole grey matter volume using sLORETA.
RESULTS: We found an effect of FB type factor on all the ET metrics computed in 
the three AoIs while the factor Pht-Pt interaction level also combined with FB 
type showed an effect only on the ET metrics calculated in Pht and surrounding 
AoIs. Neural activation in brain regions crucial for social cognition resulted 
for high Pht-Pt interaction level, while activation of the insula was found 
during low interaction, independently on the FB used.
CONCLUSIONS: The type of FB and the way in which Pht supports the patients both 
have a strong impact on patients' engagement and should be considered in the 
design of a t-RAGT-based rehabilitation session.

© 2024. The Author(s).

DOI: 10.1186/s12984-024-01504-9
PMCID: PMC11616173
PMID: 39627867 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Ethics approval and consent to 
participate: The study was approved by the local ethics board at FSL, Rome, 
Italy (PROT.CE/PROG. 883) and all the participants signed an informed consent. 
Consent for publication: Not applicable. Competing interests: The authors 
declare no competing interests."
39622173,"1. Am J Vet Res. 2024 Dec 2:1-10. doi: 10.2460/ajvr.24.10.0290. Online ahead of 
print.

Effect of recording angle on accuracy of Kinovea-based kinematic gait analysis 
compared to three-dimensional motion analysis in healthy dogs: optimal at 90° 
recording angle.

Winkler EV, Lauer SK, Steigmeier-Raith SI, Zablotski Y, Mille MA.

OBJECTIVE: The goal of this study was to investigate the effect of recording 
angle on the accuracy of 2-D Kinovea-based kinematic motion analysis (KMA) 
compared to 3-D KMA in dogs.
METHODS: In this prospective study, 3-D marker-based KMA (VICON-Nexus, version 
2.12.1, and Procalc, version 1.6; VICON Motion Systems Ltd) was performed on 
healthy dogs (body weight ≥ 20 kg) walking on a treadmill (study period: 
November 2022). Simultaneously, dogs were video-recorded by 3 smartphones 
(iPhone SE; Apple Inc) at 1.50 m distance and 45°, 90°, and 135° recording 
angles relative to the shoulder for Kinovea-based, angle-calibrated KMA. 
Shoulder, elbow, carpal, hip, stifle, and tarsal joint kinematics were 
calculated for 3 synchronized gait cycles. Each gait cycle was divided into 10 
increments. The estimated difference between 3-D KMA and Kinovea was assessed 
using robust linear mixed-effects models.
RESULTS: 34 dogs were included. Differences of less than 5° between methods were 
considered reasonable. At a 45° recording angle, the estimated joint angle 
difference was < 5° for the carpus and hip during ≥ 5 of 10 gait cycle 
increments. At 90°, the difference was < 5° across all joints for ≥ 9 of 10 
increments and at 135° was < 5° for the elbow, carpus, and hip for ≥ 7 of 10 
increments.
CONCLUSIONS: Kinovea-based kinematics were most accurate when recorded at 90°. 
At 45°, Kinovea provided accurate data for the carpus and hip and at 135° for 
the elbow, carpus, and hip.
CLINICAL RELEVANCE: While angle-calibrated kinematic measurements can be 
accurate when using Kinovea for canine KMA, a 90° recording angle is preferable.

DOI: 10.2460/ajvr.24.10.0290
PMID: 39622173"
39611942,"1. Eur J Appl Physiol. 2025 Apr;125(4):1157-1166. doi:
10.1007/s00421-024-05652-7.  Epub 2024 Nov 29.

Maximal oxygen uptake, pulmonary function and walking economy are not impaired 
in patients diagnosed with long COVID.

Berg OK(1), Aagård N(2)(3), Helgerud J(3)(4), Brobakken MF(2)(5), Hoff J(3), 
Wang E(2)(5).

Author information:
(1)Faculty of Health Sciences and Social Care, Molde University College, 
Britvegen 2, 6410, Molde, Norway. olbe@himolde.no.
(2)Faculty of Health Sciences and Social Care, Molde University College, 
Britvegen 2, 6410, Molde, Norway.
(3)Treningsklinikken, Medical Rehabilitation Clinic, Trondheim, Norway.
(4)Department of Circulation and Medical Imaging, Faculty of Medicine and Health 
Sciences, Norwegian University of Science and Technology, Trondheim, Norway.
(5)Department of Psychosis and Rehabilitation, Psychiatry Clinic, Olavs 
University Hospital, Trondheim, St, Norway.

INTRODUCTION: SARS-CoV-2 may result in the development of new symptoms, known 
as long COVID, a few months after the original infection.
PURPOSE: It is elusive to what extent physical capacity in patients diagnosed 
with long COVID is impacted.
METHODS: We compared maximal oxygen uptake (V̇O2max), one of the single most 
important factors for cardiovascular health and mortality, expired lung volumes 
and air flow, oxygen cost of walking and 6-min-walking-test (6MWT), in 20 
patients diagnosed with long COVID (11 males and 9 females; 44 ± 16 years (SD); 
26.7 ± 3.8BMI, duration of acute phase 1.7 ± 1.2 weeks, tested 4 ± 3 months 
after long COVID diagnosis) with 20 healthy age and sex matched controls 
(11 males and 9 females; 44 ± 16 years; 25.9 ± 4.0BMI).
RESULTS: Long COVID patients had a V̇O2max of 41.4 ± 16.2 mL∙kg-1∙min-1(men) and 
38.2 ± 7.5 (women) and this was not different from controls. Similarly, mean 
spirometry measures in the patient group (VC; FVC; FEV1; FEV1/FVC) were also not 
different (85-106%) from predicted healthy values. Finally, inclined treadmill 
(5%, 4 km∙h-1) walking economy was not different between the groups (long COVID: 
15.2 ± 1.1 mL∙kg-1∙min-1; controls: 15.2 ± 1.2 mL∙kg-1∙min-1), while the 6MWT 
revealed a difference (long COVID: 606 ± 118 m; controls: 685 ± 85 m; 
p = 0.036).
CONCLUSION: V̇O2max, oxygen cost of walking, and spirometry measurements did not 
appear to be impaired in patients diagnosed with long COVID with a prior mild to 
moderate SARS-CoV-2 infection. The typical outcomes in these essential factors 
for health and longevity implies that while long COVID can present with a range 
of symptoms, caution should be made when attributing these symptoms directly to 
compromised pulmonary function or V̇O2max.

© 2024. The Author(s).

DOI: 10.1007/s00421-024-05652-7
PMCID: PMC11950012
PMID: 39611942 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Conflicts of interest: The authors 
declare that they have no conflicts of interest regarding the publication of 
this paper."
39610995,"1. BMJ Open Sport Exerc Med. 2024 Nov 21;10(4):e002099. doi: 
10.1136/bmjsem-2024-002099. eCollection 2024.

Cardiovascular effects of exercise training in pregnant people with a high body 
mass index: secondary results from a randomised controlled trial (ETIP).

Moholdt T(1)(2), Garnæs KK(1)(2), Vik IP(1), Mørkved S(3), Salvesen KÅ(2)(4), 
Ingul CB(1)(5).

Author information:
(1)Department of Circulation and Medical Imaging, Norwegian University of 
Science and Technology, Trondheim, Norway.
(2)Department of Obstetrics and Gynaecology, St Olav's Hospital HF, Trondheim, 
Norway.
(3)Department of Public Health and Nursing, Norwegian University of Science and 
Technology, Trondheim, Norway.
(4)Department of Clinical and Molecular Medicine, Norwegian University of 
Science and Technology, Trondheim, Norway.
(5)Faculty of Nursing and Health Science, Nord Universitet, Bodo, Norway.

OBJECTIVES: We aimed to determine the effectiveness of exercise training during 
pregnancy on peak oxygen uptake (V̇O2peak), cardiac function and flow-mediated 
dilatation (FMD) of the brachial artery throughout pregnancy and post partum in 
individuals with a prepregnancy body mass index (BMI) ≥28 kg/m2.
TRIAL DESIGN: Parallel-group randomised controlled trial (RCT).
METHODS: The exercise group in the Exercise Training in Pregnancy (ETIP) RCT was 
offered 3 weekly supervised exercise sessions comprising 35 min of 
moderate-intensity treadmill walking followed by 25 min of strength exercises. 
The intervention started in gestational weeks 12-18 and continued throughout 
pregnancy. We measured V̇O2peak and FMD at baseline, in gestational weeks 34-37 
and 3 months post partum and offered echocardiography in gestational weeks 14, 
20, and 32, and 6-8 weeks postpartum.
RESULTS: Of the 91 participants included in ETIP, 87 participants (age: 31.3±4.2 
years, BMI: 34.6±4.3 kg/m2) provided data on V̇O2peak, cardiac function and/or 
FMD. There was no statistically significant effect of exercise training on 
V̇O2peak in gestational weeks 34-37, with an estimated effect of 1.7 mL/min/kg 
(95% CI -0.4 to 3.7, p=0.112) or post partum (1.6 mL/min/kg, 95% CI -0.2 to 3.4, 
p=0.079), compared with the control group. There were no statistically 
significant between-group differences in either FMD or any of the 
echocardiographic outcomes. Only 50% of the participants in the exercise group 
fulfilled our prespecified adherence criteria.
CONCLUSION: Offering pregnant individuals with BMI ≥28 kg/m2, a supervised 
exercise intervention did not improve cardiorespiratory fitness, cardiac 
function or FMD.
TRIAL REGISTRATION NUMBER: NCT01243554.

Copyright © Author(s) (or their employer(s)) 2024. Re-use permitted under CC 
BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.

DOI: 10.1136/bmjsem-2024-002099
PMCID: PMC11603832
PMID: 39610995

Conflict of interest statement: CBI holds a position at Cimon Medical, a company 
that develops and manufactures Doppler ultrasound technology for the healthcare 
sector. The other authors report no conflicts of interest."
39609289,"1. Eur J Appl Physiol. 2025 Apr;125(4):1139-1156. doi:
10.1007/s00421-024-05679-w.  Epub 2024 Nov 28.

The effects of age and physical activity status on muscle synergies when walking 
down slopes.

Nash L(1), Cheung VCK(2), Gupta A(1), Cheung RTH(1), He B(2), Liston M(3), 
Thomson D(4).

Author information:
(1)School of Health Sciences, Western Sydney University, Locked Bag 1797, 
Penrith, Sydney, NSW, 2751, Australia.
(2)School of Biomedical Sciences and The Gerald Choa Neuroscience Institute, The 
Chinese University of Hong Kong, Hong Kong, China.
(3)Chartered Society of Physiotherapy, London, UK.
(4)School of Health Sciences, Western Sydney University, Locked Bag 1797, 
Penrith, Sydney, NSW, 2751, Australia. d.thomson@westernsydney.edu.au.

PURPOSE: The aim of the current study was to determine whether gait control 
(muscle synergies) or gait stability (margin of stability (MoS)) were different 
between younger and older adults when walking on level or downhill slopes. 
Further, it sought to determine associations between either age or physical 
activity with muscle synergy widths.
METHODS: Ten healthy younger (28.1 ± 8.0 years) and ten healthy older 
(69.5 ± 6.3 years) adults walked at their preferred walking speed on a treadmill 
at different slopes (0˚, - 4˚ and - 8˚). Muscle synergies were extracted using 
non-negative matrix factorisation and compared between groups and walking 
slopes. Correlations between the full width at half maximum (FWHM) of the 
synergies' activations and weekly recreational physical activity minutes and age 
were also determined.
RESULTS: Younger and older adults both walked with similar muscle synergies 
across all tested slopes, with 4 synergies accounting for > 85% variance of 
overall muscle activity in both groups across all tested slopes, with high 
scalar products (≥ 0.86) for each synergy and slope. It was also demonstrated 
that physical activity and age had different associations with pooled muscle 
synergies across slopes, as weekly minutes spent in recreational physical 
activity were associated with the FWHM of a synergy activated at weight 
acceptance, whereas age was associated with the FWHM of synergies occurring at 
push off and foot clearance, respectively.
CONCLUSION: Our results suggest that healthy older and younger adults walk with 
similar muscle synergies on downhill slopes, and that physical activity and age 
influence different muscle synergies during walking.

© 2024. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, 
part of Springer Nature.

DOI: 10.1007/s00421-024-05679-w
PMID: 39609289 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Conflict of interest: The authors 
have no relevant financial or non-financial interests to disclose. Ethical 
approval: The project was granted ethical approval by the Western Sydney 
University Human Research Ethics Committee (Approval number: H11409). Consent to 
participate: Informed consent was obtained from all individual participants 
included in the study."
39606374,"1. medRxiv [Preprint]. 2024 Nov 15:2024.11.14.24317334. doi: 
10.1101/2024.11.14.24317334.

Matching Clinical Profiles with Interventions to Optimize Daily Stepping in 
People with Stroke.

McCartney KM(1)(2), Pohlig RT(3), Miller A(4), Thompson ED(1), Reisman D(1)(2).

Author information:
(1)University of Delaware, Department of Physical Therapy, Newark, DE, USA.
(2)University of Delaware, Biomechanics and Movement Science Program, Newark, 
DE, USA.
(3)University of Delaware, Biostatistics Core, Newark, DE, USA.
(4)Washington University School of Medicine in St. Louis, Program of Physical 
Therapy, St. Louis, MO, USA.

BACKGROUND: Individualizing interventions is imperative to optimize physical 
activity in people with chronic stroke. This secondary analysis grouped 
individuals with chronic stroke into clinical profiles based on baseline 
characteristics and examined if these clinical profiles preferentially 
benefitted from a specific rehabilitation intervention to improve daily 
step-activity.
METHODS: Participants had non-cerebellar strokes ≥6 months prior to enrollment, 
were 21-85 years old, had walking speeds of 0.3-1.0 m/s, and took <8,000 
steps-per-day. Participants were randomized to 1 of 3 interventions: 
high-intensity treadmill training (FAST), a step-activity behavioral 
intervention (SAM), or a combined intervention (FAST+SAM). The primary outcome 
was the interaction of latent class (clinical profile) and intervention group 
(FAST, SAM, FAST+SAM) on a change in steps-per-day. Key clinical characteristics 
to identify the latent classes included walking speed, walking endurance, 
balance self-efficacy, cognition, and area deprivation.
RESULTS: Of the 190 participants with complete pre- and post-intervention data 
(mean [SD] age, 64 [12] years; 93 females [48.9%]), 3 distinct profiles of 
people with chronic stroke were identified. Within our sample, class 1 had the 
lowest walking capacity (speed and endurance), lowest balance self-efficacy, and 
highest area deprivation, and had the greatest change in step-activity when 
enrolled in the SAM (mean[95%CI], 1624 [426 - 2821]) or FAST+SAM (1150 [723 - 
1577]) intervention. Class 2 had walking capacity, baseline steps-per-day, and 
self-efficacy values between Class 1 and 3, and had the greatest change in 
step-activity when enrolled in the SAM (2002 [1193-2811]) intervention. Class 3 
had the highest walking capacity, highest self-efficacy, and lowest area 
deprivation and the greatest change in step-activity when enrolled in the 
FAST+SAM (1532 [915-2150]) intervention.
CONCLUSIONS: People with chronic stroke require different interventions to 
optimize a change in step-activity. Clinicians can use clinically relevant 
measures to personalize intervention selection to augment step-activity in 
people with chronic stroke.
TRIAL REGISTRATION: NCT02835313; 
https://clinicaltrials.gov/ct2/show/NCT02835313.

DOI: 10.1101/2024.11.14.24317334
PMCID: PMC11601677
PMID: 39606374"
